year month birth  
   87 11  4279
   87 12  4342
   88  1  4500
   88  2  4471
   88  3  5201
   88  4  5061
   88  5  5169
   88  6  4989
   88  7  5160
   88  8  5288
   88  9  5158
   88 10  4716
   88 11  4474
   88 12  4657
   89  1  4707
   89  2  4651
   89  3  5293
   89  4  5300
   89  5  5578
   89  6  5237
   89  7  5486
   89  8  5423
   89  9  5275
   89 10  4846
   89 11  4721
   89 12  4834
   90  1  4930
   90  2  4800
   90  3  5488
   90  4  5426
   90  5  5545
   90  6  5354
   90  7  5878
   90  8  5552
   90  9  5509
   90 10  5380
   90 11  4771
   90 12  4800
   91  1  5146
   91  2  4914
   91  3  5444
   91  4  5641
   91  5  5768
   91  6  5488
   91  7  5818
   91  8  5620
   91  9  5388
   91 10  5130
   91 11  4955
   91 12  5046
   92  1  5244
   92  2  5358
   92  3  5851
   92  4  5739
   92  5  5725
   92  6  5949
   92  7  6156
   92  8  5937
   92  9  5803
   92 10  5614
   92 11  5107
   92 12  5243
   93  1  5539
   93  2  5165
   93  3  5940
   93  4  5783
   93  5  5690
   93  6  5842
   93  7  6110
   93  8  5893
   93  9  5828
   93 10  5414
   93 11  4962
   93 12  5203


